Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Health Services Insights,0.676,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/his,8,Medicine (General),Public aspects of medicine,"CC BY, CC BY-NC",https://journals.sagepub.com/home/his,SAGE Publishing,NA,1178-6329
Diagnostics,0.67,Q2,2600,CHF,3207,"yes, library special terms",http://www.mdpi.com/journal/diagnostics/apc,6,Medicine (General),,CC BY,http://www.mdpi.com/journal/diagnostics,MDPI AG,NA,2075-4418
MDM Policy & Practice,0.668,Q2,2500,USD,2796,no,https://journals.sagepub.com/author-instructions/mpp,15,Medicine (General),,"CC BY, CC BY-NC",http://journals.sagepub.com/home/mpp,SAGE Publishing,NA,2381-4683
Journal of Pain Research,0.667,Q2,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=41,16,Medicine (General),,"CC BY, CC BY-NC",https://www.dovepress.com/journal-of-pain-research-journal,Dove Medical Press,NA,1178-7090
Animal Cells and Systems,0.66,Q1,1190,GBP,1630,yes,https://www.tandfonline.com/action/authorSubmission?journalCode=TACS&page=instructions,21,Medicine (General),Biology (General),"CC BY, CC BY-NC",https://www.tandfonline.com/journals/tacs,Taylor & Francis Group,1976-8354,2151-2485
PharmacoEconomics - Open,0.646,Q2,2790,GBP,3822,"no, but DEAL special terms",https://www.springer.com/journal/41669/open-access-publishing#Fees%20and%20Funding,8,Medicine (General),,CC BY-NC,https://www.springer.com/journal/41669,"Adis, Springer Healthcare",NA,2509-4254
Contemporary Clinical Trials Communications,0.642,Q2,1950,USD,2181,no,https://www.elsevier.com/journals/contemporary-clinical-trials-communications/2451-8654/open-access-journal,20,Medicine (General),,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/contemporary-clinical-trials-communications/,Elsevier,NA,2451-8654
Pilot and Feasibility Studies,0.622,Q2,1890,GBP,2589,no,https://pilotfeasibilitystudies.biomedcentral.com/about,9,Medicine (General),,"CC BY, CC0",https://pilotfeasibilitystudies.biomedcentral.com,BMC,NA,2055-5784
Future Science OA,0.621,Q2,950,GBP,1301,yes,http://www.future-science.com/page/journal/fso/fees,13,Medicine (General),,CC BY,http://www.future-science.com/loi/fso,Future Science Ltd,NA,2056-5623
SAGE Open Medicine,0.613,Q2,1125,USD,1258,"yes, library special terms",https://journals.sagepub.com/author-instructions/smo,12,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/smo,SAGE Publishing,NA,2050-3121
Patient Preference and Adherence,0.608,Q1,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=20,16,Medicine (General),,"CC BY, CC BY-NC",https://www.dovepress.com/patient-preference-and-adherence-journal,Dove Medical Press,NA,1177-889X
Journal of Clinical Laboratory Analysis,0.594,Q1,3850,EUR,4582,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/10982825/homepage/article_publication_charge,8,Medicine (General),,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/10982825,Wiley,NA,1098-2825
Medicina,0.59,Q2,1800,CHF,2220,"yes, library special terms",https://www.mdpi.com/journal/medicina/apc,6,Medicine (General),,CC BY,https://www.mdpi.com/journal/medicina,MDPI AG,1010-660X,1648-9144
Journal of Alzheimer's Disease Reports,0.578,Q2,2150,USD,2405,no,https://www.iospress.com/catalog/journals/journal-of-alzheimers-disease-reports#author-guidelines,8,Medicine (General),,"CC BY, CC BY-NC",https://www.iospress.com/catalog/journals/journal-of-alzheimers-disease-reports,IOS Press,NA,2542-4823
Journal of the Renin-Angiotensin-Aldosterone System,0.574,Q2,2175,USD,2433,no,https://www.hindawi.com/journals/jraas/apc/,7,Medicine (General),,CC BY,https://www.hindawi.com/journals/jraas/,Hindawi - SAGE Publishing,1470-3203,1752-8976
Pain Research and Management,0.562,Q2,2375,USD,2657,no,https://www.hindawi.com/journals/prm/apc/,17,Medicine (General),,CC BY,https://www.hindawi.com/journals/prm/,Hindawi Limited,1203-6765,1918-1523
Molecular Genetics and Metabolism Reports,0.552,Q3,2410,USD,2696,no,https://www.elsevier.com/journals/molecular-genetics-and-metabolism-reports/2214-4269/open-access-journal,8,Medicine (General),Biology (General),"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/molecular-genetics-and-metabolism-reports/,Elsevier,NA,2214-4269
Basic and Clinical Andrology,0.539,Q2,2390,GBP,3274,no,https://bacandrology.biomedcentral.com/about,22,Medicine (General),,"CC BY, CC0",https://bacandrology.biomedcentral.com,BMC,NA,2051-4190
International Journal of Qualitative Studies on Health & Well-Being,0.538,Q1,2195,GBP,3007,no,https://www.tandfonline.com/action/authorSubmission?journalCode=ZQHW&page=instructions,14,Medicine (General),,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/zqhw,Taylor & Francis Group,1748-2623,1748-2631
Cost Effectiveness and Resource Allocation,0.53,Q2,2190,GBP,3000,no,https://resource-allocation.biomedcentral.com/about,34,Medicine (General),,"CC BY, CC0",https://resource-allocation.biomedcentral.com/,BMC,NA,1478-7547
BioImpacts,0.529,Q2,No,-,0,yes,https://bi.tbzmed.ac.ir/EditorialPolicies,5,Medicine (General),Biology (General),CC BY-NC,http://bi.tbzmed.ac.ir/,Tabriz University of Medical Sciences,2228-5652,2228-5660
International Journal of General Medicine,0.521,Q2,2410,USD,2696,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=39,16,Medicine (General),,"CC BY, CC BY-NC",https://www.dovepress.com/international-journal-of-general-medicine-journal,Dove Medical Press,NA,1178-7074
Clinics,0.501,Q3,1700,USD,1902,yes,https://www.elsevier.com/journals/clinics/1807-5932/open-access-information,7,Medicine (General),,CC BY,https://www.journals.elsevier.com/clinics,Elsevier España,1807-5932,1980-5322
ClinicoEconomics and Outcomes Research,0.5,Q2,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=29,16,Medicine (General),Therapeutics. Pharmacology,"CC BY, CC BY-NC",https://www.dovepress.com/clinicoeconomics-and-outcomes-research-journal,Dove Medical Press,NA,1178-6981
MedEdPORTAL,0.498,Q3,No,-,0,yes,https://www.mededportal.org/author#openaccess,35,Medicine (General),Education,"CC BY, CC BY-NC",https://www.mededportal.org/,Association of American Medical Colleges,NA,2374-8265
BMJ Open Quality,0.489,Q2,2060,GBP,2822,no,https://bmjopenquality.bmj.com/pages/authors/#article_publishing_charges,20,Medicine (General),,"CC BY-NC, CC BY, CC BY-NC-ND",https://bmjopenquality.bmj.com,BMJ Publishing Group,NA,2399-6641
Global Advances in Health and Medicine,0.456,Q3,1800,USD,2013,no,https://journals.sagepub.com/author-instructions/gam,14,Medicine (General),Public aspects of medicine,"CC BY, CC BY-NC",https://journals.sagepub.com/home/gam,SAGE Publishing,2164-957X,2164-9561
Practical Laboratory Medicine,0.439,Q2,2000,USD,2237,no,https://www.elsevier.com/journals/practical-laboratory-medicine/2352-5517/open-access-journal,7,Medicine (General),Chemistry,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/practical-laboratory-medicine/,Elsevier,NA,2352-5517
Journal of Taibah University Medical Sciences,0.418,Q3,625,USD,699,yes,https://www.elsevier.com/journals/journal-of-taibah-university-medical-sciences/1658-3612/open-access-journal,43,Medicine (General),,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/journal-of-taibah-university-medical-sciences/,Elsevier,NA,1658-3612
Perspectives in Clinical Research,0.409,Q3,No,-,0,yes,https://www.picronline.org/aboutus.asp,36,Medicine (General),,CC BY-NC-SA,http://www.picronline.org/,Wolters Kluwer Medknow Publications,2229-3485,2229-5488
Journal of International Medical Research,0.393,Q3,2600,GBP,3562,no,https://journals.sagepub.com/author-instructions/imr,12,Medicine (General),,CC BY-NC,https://journals.sagepub.com/home/imr,SAGE Publishing,0300-0605,1473-2300
Croatian Medical Journal,0.383,Q3,No,-,0,yes,http://www.cmj.hr/default.aspx?id=26,10,Medicine (General),,CC BY-NC-ND,http://www.cmj.hr/,"Medicinska naklada, Zagreb",0353-9504,1332-8166
Journal of Stem Cells and Regenerative Medicine,0.382,Q3,380,USD,425,yes,http://www.pubstemcell.com/pubfees.htm,14,Medicine (General),,CC BY,http://www.pubstemcell.com,GN Corporation Limited,NA,0973-7154
Rehabilitation Research and Practice,0.377,Q2,925,USD,1035,yes,https://www.hindawi.com/journals/rerp/apc/,19,Medicine (General),,CC BY,https://www.hindawi.com/journals/rerp/,Hindawi Limited,2090-2867,2090-2875
Medical Mycology Case Reports,0.364,Q3,650,USD,727,yes,https://www.elsevier.com/journals/medical-mycology-case-reports/2211-7539/open-access-journal,5,Medicine (General),Biology (General),"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/medical-mycology-case-reports/,Elsevier,NA,2211-7539
Health Services Research & Managerial Epidemiology,0.357,Q3,1200,USD,1342,yes,https://journals.sagepub.com/author-instructions/hme,12,Medicine (General),Public aspects of medicine,"CC BY, CC BY-NC",https://journals.sagepub.com/home/hme,SAGE Publishing,NA,2333-3928
Journal of General and Family Medicine,0.343,Q2,2500,USD,2796,"no, but DEAL special terms",http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2189-7948/homepage/article_publication_charges.htm,48,Medicine (General),,"CC BY, CC BY-NC, CC BY-NC-ND",http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2189-7948,Wiley,NA,2189-7948
Eurasian Journal of Medicine,0.339,Q3,No,-,0,yes,https://www.eajm.org/eng/sayfalar/8/Aims-and-Scope,16,Medicine (General),,CC BY,https://www.eajm.org/eng/Anasayfa,AVES,1308-8734,1308-8742
Journal of Patient Experience,0.33,Q3,1200,USD,1342,yes,https://journals.sagepub.com/author-instructions/jpx#ArticleProcessingCharge,15,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/jpx,SAGE Publishing,2374-3735,2374-3743
"Drug, Healthcare and Patient Safety",0.311,Q3,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=44,16,Medicine (General),,"CC BY, CC BY-NC",https://www.dovepress.com/drug-healthcare-and-patient-safety-journal,Dove Medical Press,NA,1179-1365
Journal of Investigative Medicine High Impact Case Reports,0.307,Q2,750,USD,839,yes,https://journals.sagepub.com/author-instructions/hic,12,Medicine (General),Pathology,CC BY,https://journals.sagepub.com/home/hic,SAGE Publishing,NA,2324-7096
Acta Medica Academica,0.288,Q3,No,-,0,yes,http://ama.ba/forms/AMA-2016-instrukcija-1.pdf,15,Medicine (General),,CC BY-NC,http://www.ama.ba,Academy of Sciences and Arts of Bosnia and Herzegovina,1840-1848,1840-2879
Journal of Electrical Bioimpedance,0.257,Q4,400,USD,447,yes,https://sciendo.com/journal/joeb,17,Medicine (General),,CC BY,https://sciendo.com/pl/journal/joeb,Sciendo,NA,1891-5469
International Medical Case Reports Journal,0.248,Q3,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=46,16,Medicine (General),,"CC BY, CC BY-NC",https://www.dovepress.com/international-medical-case-reports-journal-journal,Dove Medical Press,NA,1179-142X
Qatar Medical Journal,0.235,Q4,No,-,0,yes,https://www.qscience.com/content/journals/qmj?page=submit-a-paper,6,Medicine (General),,CC BY,https://www.qscience.com/content/journals/qmj,Hamad Bin Khalifa University Press,0253-8253,2227-0426
Clinical Medicine Insights: Case Reports,0.232,Q4,1848,USD,2067,no,https://journals.sagepub.com/author-instructions/icr,8,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/icr,SAGE Publishing,NA,1179-5476
Journal of Smooth Muscle Research,0.2,Q4,No,-,0,yes,http://www.jssmr.jp/official/pg_journal/index.html,10,Medicine (General),,CC BY-NC,http://www.jssmr.jp/official/pg_journal/index.html,Japan Society of Smooth Muscle Research,0916-8737,NA
SAGE Open Medical Case Reports,0.186,Q4,1125,USD,1258,"yes, library special terms",https://journals.sagepub.com/author-instructions/sco,8,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/sco,SAGE Publishing,NA,2050-313X
Journal of Chest Surgery,0.163,Q4,No,-,0,yes,http://www.jchestsurg.org/content/authors/instructions_for_authors.html#n,7,Medicine (General),,CC BY-NC,http://www.jchestsurg.org/main.html,Korean Society for Thoracic & Cardiovascular Surgery,2765-1606,2765-1614
Revista de la Facultad de Ciencias Médicas de Córdoba,0.152,Q4,No,-,0,yes,https://revistas.unc.edu.ar/index.php/med/editorialPolicies/openAccessPolicy,20,Medicine (General),,CC BY-NC,https://revistas.unc.edu.ar/index.php/med/,Universidad Nacional de Córdoba,0014-6722,1853-0605
Current Controlled Trials in Cardiovascular Medicine,-,-,1370,GBP,1877,yes,https://trialsjournal.biomedcentral.com/about,10,Medicine (General),,CC BY,https://trialsjournal.biomedcentral.com/,BMC,1468-6708,1468-6694
Laboratory Animal Research,-,-,No,-,0,yes,https://labanimres.biomedcentral.com/about,8,Medicine (General),Biology (General),"CC BY, CC0",https://labanimres.biomedcentral.com/,BMC,1738-6055,2233-7660
Interventional Medicine & Applied Science,-,-,No,-,0,yes,https://akjournals.com/view/journals/1647/1647-overview.xml,15,Medicine (General),,"CC BY, CC BY-NC",https://akjournals.com/view/journals/1646/1646-overview.xml,Akadémiai Kiadó,2061-1617,2061-5094
Neurointervention,-,-,No,-,0,yes,https://neurointervention.org/authors/authors.php,12,Medicine (General),Neurosciences. Biological psychiatry. Neuropsychiatry,CC BY-NC,https://neurointervention.org/,Korean Society of Interventional Neuroradiology,2093-9043,2233-6273
Global Journal on Quality and Safety in Healthcare,-,-,2400,USD,2685,no,https://meridian.allenpress.com/innovationsjournals/pages/Policies-and-Processes,24,Medicine (General),,"CC BY, CC BY-NC-ND, Public domain",https://meridian.allenpress.com/innovationsjournals-JQSH,Innovative Healthcare Institute,2666-2353,2589-9449
Palliative Care,-,-,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/pcr,15,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/pcr,SAGE Publishing,NA,1178-2242
Patient Related Outcome Measures,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=84,16,Medicine (General),,"CC BY, CC BY-NC",https://www.dovepress.com/patient-related-outcome-measures-journal,Dove Medical Press,NA,1179-271X
Rehabilitation Process and Outcome,-,-,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/rpo,8,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/rpo,SAGE Publishing,NA,1179-5727
BMC Family Practice,-,-,1990,GBP,2726,no,https://bmcprimcare.biomedcentral.com/about,18,Medicine (General),,"CC BY, CC0",https://bmcprimcare.biomedcentral.com,BMC,NA,1471-2296
Clinics and Practice,-,-,1600,CHF,1974,"yes, library special terms",https://www.mdpi.com/journal/clinpract/apc,6,Medicine (General),,CC BY,https://www.mdpi.com/journal/clinpract/,MDPI AG,NA,2039-7283
JRSM Short Reports,-,-,495,GBP,678,yes,https://journals.sagepub.com/author-instructions/shr,12,Medicine (General),,"CC BY, CC BY-NC",https://journals.sagepub.com/home/shr,SAGE Publishing,NA,2042-5333
Clinical Case Reports,-,-,850,USD,951,"yes, also under DEAL",http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2050-0904/homepage/custom_copy.htm,13,Medicine (General),,"CC BY, CC BY-NC, CC BY-NC-ND",http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2050-0904,Wiley,NA,2050-0904
JRSM Open,-,-,450,GBP,616,yes,https://journals.sagepub.com/author-instructions/shr,12,Medicine (General),,"CC BY, CC BY-NC",http://shr.sagepub.com/,SAGE Publishing,NA,2054-2704
Current Health Sciences Journal,-,-,No,-,0,yes,http://www.chsjournal.org/information,12,Medicine (General),,CC BY-NC-SA,http://www.chsjournal.org/,Medical University Publishing House Craiova,NA,2069-4032
Biomedicine Hub,-,-,1510,CHF,1863,yes,https://www.karger.com/Journal/Guidelines/261421#sec62,16,Medicine (General),,"CC BY, CC BY-NC",http://www.karger.com/BMH,Karger Publishers,NA,2296-6870
Diagnostic and Prognostic Research,-,-,1990,GBP,2726,no,https://diagnprognres.biomedcentral.com/about,18,Medicine (General),,CC BY,https://diagnprognres.biomedcentral.com/,BMC,NA,2397-7523
Medicine Access @ Point of Care,-,-,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/map,15,Medicine (General),,"CC BY, CC BY-NC",http://journals.sagepub.com/home/map,SAGE Publishing,NA,2399-2026
Qualitative Research in Medicine & Healthcare,-,-,No,-,0,yes,https://www.pagepressjournals.org/index.php/qrmh/fee,10,Medicine (General),,CC BY-NC,https://www.pagepressjournals.org/index.php/qrmh/index,PAGEPress Publications,NA,2532-2044
"Mayo Clinic Proceedings: Innovations, Quality & Outcomes",-,-,3000,USD,3356,no,https://www.elsevier.com/journals/mayo-clinic-proceedings-innovations-quality-and-outcomes/2542-4548/open-access-journal,12,Medicine (General),,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/mayo-clinic-proceedings-innovations-quality-and-outcomes/,Elsevier,NA,2542-4548
Animal Models and Experimental Medicine,-,-,No,-,0,"yes, also under DEAL",https://onlinelibrary.wiley.com/journal/25762095,12,Medicine (General),,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/25762095,Wiley,NA,2576-2095
Archives of Rehabilitation Research and Clinical Translation,-,-,2500,USD,2796,no,https://www.elsevier.com/journals/archives-of-rehabilitation-research-and-clinical-translation/2590-1095/open-access-journal,8,Medicine (General),,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/archives-of-rehabilitation-research-and-clinical-translation,Elsevier,NA,2590-1095
Implementation Science Communications,-,-,1590,GBP,2178,no,https://implementationsciencecomms.biomedcentral.com/about,24,Medicine (General),,"CC BY, CC0",https://implementationsciencecomms.biomedcentral.com/,BMC,NA,2662-2211
Palliative Medicine Reports,-,-,1250,USD,1398,yes,https://home.liebertpub.com/publications/palliative-medicine-reports/656/for-authors,7,Medicine (General),,"CC BY, CC BY-NC",http://www.liebertpub.com/pmr,Mary Ann Liebert,NA,2689-2820
Médecine Tropicale et Santé Internationale (MTSI),-,-,No,-,0,yes,http://revuemtsi.societe-mtsi.fr/index.php/bspe-articles/about,6,Medicine (General),Other systems of medicine,CC BY,http://revuemtsi.societe-mtsi.fr/index.php/bspe-articles/about,Société francophone de médecine tropicale et santé internationale (ancienne SPE),NA,2778-2034
Health Psychology Research,0.501,Q2,1200,USD,1342,yes,https://www.openmedicalpublishing.org/article-processing-charges-apcs/,15,Mental healing,,CC BY-NC,https://healthpsychologyresearch.openmedicalpublishing.org/,Open Medical Publishing,NA,2420-8124
Implementation Research and Practice,-,-,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/IRP,18,Mental healing,Psychiatry,"CC BY, CC BY-NC",https://journals.sagepub.com/home/irp,SAGE Publishing,NA,2633-4895
Virus Research,1.034,Q2,2650,USD,2964,no,https://www.elsevier.com/journals/virus-research/0168-1702/open-access-information,14,Microbiology,Infectious and parasitic diseases,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/virus-research,Elsevier,NA,1872-7492
Journal of Virus Eradication,1.017,Q1,2260,USD,2528,no,https://www.elsevier.com/journals/journal-of-virus-eradication/2055-6640/open-access-journal,39,Microbiology,Public aspects of medicine,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/journal-of-virus-eradication,Elsevier,2055-6640,2055-6659
Current Research in Microbial Sciences,0.688,Q2,2500,USD,2796,no,https://www.elsevier.com/journals/current-research-in-microbial-sciences/2666-5174/open-access-journal,6,Microbiology,Genetics,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/current-research-in-microbial-sciences,Elsevier,NA,2666-5174
Archives of Physiotherapy,0.499,Q2,1590,EUR,1892,yes,https://archivesphysiotherapy.biomedcentral.com/about,10,Miscellaneous systems and treatments,,"CC BY, CC0",https://archivesphysiotherapy.biomedcentral.com/,BMC,NA,2057-0082
Integrative Medicine Research,0.475,Q2,No,-,0,yes,https://www.elsevier.com/journals/integrative-medicine-research/2213-4220/open-access-journal,12,Miscellaneous systems and treatments,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/integrative-medicine-research/,Elsevier,2213-4220,NA
Journal of Pharmacopuncture,0.394,Q2,No,-,0,yes,http://www.journal-jop.org/content/contributors/for_authors.html,10,Miscellaneous systems and treatments,Therapeutics. Pharmacology,CC BY-NC,http://www.journal-jop.org/main.html,Korean Pharmacopuncture Institute,2093-6966,2234-6856
Journal of Ayurveda and Integrative Medicine,0.388,Q2,1800,USD,2013,no,https://www.elsevier.com/journals/journal-of-ayurveda-and-integrative-medicine/0975-9476/open-access-journal,30,Miscellaneous systems and treatments,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/journal-of-ayurveda-and-integrative-medicine/,Elsevier,0975-9476,0976-2809
Molecular Cancer,8.703,Q1,3990,GBP,5466,no,https://molecular-cancer.biomedcentral.com/about,16,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC0",https://molecular-cancer.biomedcentral.com/,BMC,NA,1476-4598
Blood Cancer Journal,3.699,Q1,3790,GBP,5192,"no, but DEAL special terms",https://www.nature.com/bcj/open-access,14,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,http://www.nature.com/bcj/index.html,Nature Publishing Group,NA,2044-5385
Journal for ImmunoTherapy of Cancer,3.403,Q1,2885,USD,3227,no,https://jitc.bmj.com/pages/authors/#APC,18,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY-NC, CC BY, CC BY-NC-ND",https://jitc.bmj.com,BMJ Publishing Group,NA,2051-1426
Liver Cancer,2.955,Q1,3260,CHF,4021,no,https://www.karger.com/Journal/Guidelines/255487#sec62,23,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",http://www.karger.com/lic,Karger Publishers,2235-1795,1664-5553
Cancer Communications,2.677,Q1,2500,USD,2796,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/25233548/article-publication-charges.html,4,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/25233548,Wiley,NA,2523-3548
npj Precision Oncology,2.52,Q1,2990,GBP,4096,no,https://www.nature.com/npjprecisiononcology/about/apc,18,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.nature.com/npjprecisiononcology/,Nature Portfolio,NA,2397-768X
Journal of Experimental & Clinical Cancer Research,2.413,Q1,2890,GBP,3959,no,https://jeccr.biomedcentral.com/about,8,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC0",https://jeccr.biomedcentral.com/,BMC,NA,1756-9966
Breast Cancer Research,2.408,Q1,3190,GBP,4370,no,https://breast-cancer-research.biomedcentral.com/about,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC0",https://breast-cancer-research.biomedcentral.com/,BMC,1465-5411,1465-542X
JNCI Cancer Spectrum,2.377,Q1,1008,GBP,1381,yes,https://academic.oup.com/jncics/pages/charges,18,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Public aspects of medicine,"CC BY, CC BY-NC, CC BY-NC-ND",https://academic.oup.com/jncics,Oxford University Press,NA,2515-5091
npj Breast Cancer,2.209,Q1,2890,GBP,3959,no,https://www.nature.com/npjbcancer/about/apc,9,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.nature.com/npjbcancer/,Nature Portfolio,NA,2374-4677
ESMO Open,2.196,Q1,3000,EUR,3570,no,https://www.elsevier.com/journals/esmo-open/2059-7029/open-access-journal,10,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/esmo-open/,Elsevier,NA,2059-7029
The Oncologist,1.859,Q1,3494,USD,3908,no,https://academic.oup.com/oncolo/pages/general-instructions#Charge,19,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://academic.oup.com/oncolo,Oxford University Press,NA,1549-490X
Molecular Oncology,1.778,Q1,3600,USD,4027,"no, but DEAL special terms",https://febs.onlinelibrary.wiley.com/hub/journal/18780261/journal-menu/author-guidelines#OAinfo,10,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://febs.onlinelibrary.wiley.com/journal/18780261,Wiley,1574-7891,1878-0261
Cell Proliferation,1.681,Q1,2860,EUR,3403,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/13652184/article_publication_charges.html,7,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Cytology,CC BY,https://onlinelibrary.wiley.com/journal/13652184,Wiley,0960-7722,1365-2184
Oncogenesis,1.61,Q1,3190,GBP,4370,"no, but DEAL special terms",https://www.nature.com/oncsis/open-access,26,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,http://www.nature.com/oncsis/index.html,Nature Publishing Group,NA,2157-9024
Cell Death Discovery,1.545,Q1,2090,GBP,2863,"no, but DEAL special terms",https://www.nature.com/cddiscovery/open-access,9,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Cytology,CC BY,http://www.nature.com/cddiscovery/,Nature Publishing Group,NA,2058-7716
Cancer Science,1.533,Q1,2250,USD,2517,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/13497006/homepage/article_publication_charges.htm,17,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/13497006,Wiley,NA,1349-7006
Therapeutic Advances in Medical Oncology,1.514,Q1,2300,USD,2573,no,https://journals.sagepub.com/author-instructions/tam,15,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tam,SAGE Publishing,1758-8340,1758-8359
JCO Global Oncology,1.467,Q1,2472,USD,2765,no,https://ascopubs.org/go/authors/open-access,7,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://ascopubs.org/journal/go,American Society of Clinical Oncology,NA,2687-8941
Cancer Biology & Medicine,1.466,Q1,1500,USD,1678,yes,http://www.cancerbiomed.org/index.php/cocr/pages/view/instructions_authors#charges_,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY-NC,http://www.cancerbiomed.org/index.php/cocr/index,China Anti-Cancer Association,2095-3941,NA
Neoplasia: An International Journal for Oncology Research,1.451,Q2,3170,USD,3546,no,https://www.elsevier.com/journals/neoplasia/1476-5586/open-access-journal,12,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/neoplasia/,Elsevier,1522-8002,1476-5586
Molecular Therapy: Oncolytics,1.339,Q1,3900,USD,4362,no,https://www.cell.com/open-access,6,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",http://www.cell.com/molecular-therapy-family/oncolytics/latest-content,Elsevier,NA,2372-7705
Cancers,1.312,Q1,2900,CHF,3577,no,https://www.mdpi.com/journal/cancers/apc,6,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,CC BY,https://www.mdpi.com/journal/cancers/,MDPI AG,NA,2072-6694
Breast,1.269,Q1,2630,USD,2942,no,https://www.elsevier.com/journals/the-breast/0960-9776/open-access-journal,5,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/the-breast,Elsevier,NA,1532-3080
